Count,Pattern,Gram,quintile
1071,v2 v1 ,Two,1
1046,v3 v2 ,Two,1
855,v4 v3 ,Two,1
561,v3 v2 v1 ,Three,1
506,v4 v3 v2 ,Three,1
427,v5 v4 v3 ,Three,1
154,v5 v4 v3 v2 v1 ,Five,1
148,^6 v5 v4 v3 v2 ,Five,1
86,^5 ^6 v5 v4 v3 ,Five,1
45,^4 ^5 ^6 v5 v4 v3 v2 ,Seven,1
42,^5 ^6 v5 v4 v3 v2 v1 ,Seven,1
32,^1 v7 v6 v5 v4 v3 v2 ,Seven,1
17,^2 v7- ,Two,2
17,^5+ ^7 ,Two,2
17,3 ^6 ,Two,2
14,^3 ^4 ^5 ^6 v5 v4 v3 v2 v1 ,Nine,1
13,^5 ^6 v5 v4 v3 v2 v1 ^2 ^3 ,Nine,1
12,^2 ^3 ^4 ^5 ^6 v5 v4 v3 v2 ,Nine,1
6,^1 ^2+ ,Two,3
6,^3 v4+ ,Two,3
5,v7 v3 ,Two,3
4,1 v1+ ^2 ,Three,2
4,1 v7- 7- ,Three,2
4,v2 v5 ^3 ,Three,2
