"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses","stimulus","button_pressed","key_press","response_sequence","melody"
"[{""page_index"":0,""viewing_time"":155538.6250000447},{""page_index"":1,""viewing_time"":16707.75999967009},{""page_index"":2,""viewing_time"":2705.2750000730157}]","174952.4250002578","instructions","0","175986","0.0-0.0","7622","","","","","",""
"","4105.359999462962","survey-text","1","180095","0.0-1.0","7622","{""Q0"":""30""}","","","","",""
"","9080.780000425875","survey-text","2","189177","0.0-2.0","7622","{""Q0"":""finished terminal degree""}","","","","",""
"","8326.534999534488","survey-text","3","197504","0.0-3.0","7622","{""Q0"":""moveable-do""}","","","","",""
"","3870.1250003650784","survey-text","4","201375","0.0-4.0","7622","{""Q0"":""no""}","","","","",""
"","14317.909999750555","survey-text","5","215694","0.0-5.0","7622","{""Q0"":""60""}","","","","",""
"","5965.394999831915","survey-text","6","221661","0.0-6.0","7622","{""Q0"":""1""}","","","","",""
"[{""page_index"":0,""viewing_time"":3823.8450000062585},{""page_index"":1,""viewing_time"":26436.95000000298},{""page_index"":2,""viewing_time"":2399.315000511706}]","32660.385000519454","instructions","7","254322","0.0-7.0","7622","","","","","",""
"","8293.045000173151","audio-button-response","8","262619","0.0-8.0","7622","","stimuli/long/c-do.mp3","0","","",""
"","7943.420000374317","audio-button-response","9","270564","0.0-9.0","7622","","stimuli/long/a-le.mp3","8","","",""
"[{""page_index"":0,""viewing_time"":7923.094999976456},{""page_index"":1,""viewing_time"":22145.43499983847}]","30068.824999965727","instructions","10","300634","0.0-10.0","7622","","","","","",""
"","13749.51499979943","audio-button-response","11","314386","0.0-11.0-0.0","7622","","stimuli/long/c-fi.mp3","6","","",""
"","14793.245000764728","audio-button-response","12","329181","0.0-11.0-0.1","7622","","stimuli/long/a-sol.mp3","7","","",""
"","null","audio-button-response","13","349185","0.0-11.0-0.2","7622","","stimuli/long/e-fi.mp3","null","","",""
"","8495.834999717772","audio-button-response","14","357683","0.0-11.0-0.3","7622","","stimuli/long/e-le.mp3","8","","",""
"","12279.49499990791","audio-button-response","15","369965","0.0-11.0-0.4","7622","","stimuli/long/e-te.mp3","11","","",""
"","9832.080000080168","audio-button-response","16","379799","0.0-11.0-0.5","7622","","stimuli/long/a-re.mp3","2","","",""
"","13809.009999968112","audio-button-response","17","393611","0.0-11.0-0.6","7622","","stimuli/long/c-re.mp3","5","","",""
"","12602.815000340343","audio-button-response","18","406216","0.0-11.0-0.7","7622","","stimuli/long/c-la.mp3","6","","",""
