"","subject","rt","button_pressed","key","scale_degree","score","stimuli_together"
"1",4983,"8401.63500001654","te","a","te",1,"a-te.mp3"
"2",4983,"10992.580000078306","do","a","do8",0,"a-do8.mp3"
"3",4983,"14725.88500007987","ra","c","ra",1,"c-ra.mp3"
"4",4983,"10594.824999803677","fi","c","fi",1,"c-fi.mp3"
"5",4983,"9320.115000009537","ti","c","ti",1,"c-ti.mp3"
"6",4983,"11686.689999885857","la","c","la",1,"c-la.mp3"
"7",4983,"9935.640000039712","fa","a","fa",1,"a-fa.mp3"
"8",4983,"12268.159999977797","re","e","te",0,"e-te.mp3"
"9",4983,"11853.920000139624","le","a","le",1,"a-le.mp3"
"10",4983,"10674.385000020266","sol","a","sol",1,"a-sol.mp3"
"11",4983,"7605.20499991253","do","a","do",1,"a-do.mp3"
"12",4983,"9777.79999980703","sol","e","sol",1,"e-sol.mp3"
"13",4983,"8406.67499997653","mi","e","mi",1,"e-mi.mp3"
"14",4983,"10923.805000027642","re","c","re",1,"c-re.mp3"
"15",4983,"9535.924999974668","fa","e","fa",1,"e-fa.mp3"
"16",4983,"13767.089999979362","le","a","me",0,"a-me.mp3"
"17",4983,"9641.604999778792","me","e","me",1,"e-me.mp3"
"18",4983,"14384.534999961033","re","e","re",1,"e-re.mp3"
"19",4983,"15007.680000038818","la","a","mi",0,"a-mi.mp3"
"20",4983,"11741.394999902695","me","c","me",1,"c-me.mp3"
"21",4983,"8364.385000197217","sol","c","sol",1,"c-sol.mp3"
"22",4983,"12749.150000046939","mi","c","mi",1,"c-mi.mp3"
"23",4983,"11064.495000056922","la","a","la",1,"a-la.mp3"
"24",4983,"11909.685000078753","fi","e","fi",1,"e-fi.mp3"
"25",4983,"9278.260000050068","ti","a","ti",1,"a-ti.mp3"
"26",4983,"11349.480000091717","fi","a","fi",1,"a-fi.mp3"
"27",4983,"12313.09499987401","le","e","le",1,"e-le.mp3"
"28",4983,"13021.185000194237","re","a","re",1,"a-re.mp3"
"29",4983,"10457.350000040606","la","e","la",1,"e-la.mp3"
"30",4983,"8542.754999827594","do","c","do",1,"c-do.mp3"
"31",4983,"8671.890000114217","fa","c","fa",1,"c-fa.mp3"
"32",4983,"8500.119999982417","do","e","do8",0,"e-do8.mp3"
"33",4983,"12681.024999823421","le","c","le",1,"c-le.mp3"
"34",4983,"14311.870000092313","ti","e","ti",1,"e-ti.mp3"
"35",4983,"7729.67499983497","do","e","do",1,"e-do.mp3"
"36",4983,"7916.399999987334","do","c","do8",0,"c-do8.mp3"
"37",4983,"11007.360000163317","ra","e","ra",1,"e-ra.mp3"
"38",4983,"9500.944999977946","ra","a","ra",1,"a-ra.mp3"
"39",4983,"51834.52000003308",NA,NA,NA,NA,NA
"40",4983,"null",NA,"new","stimuli",NA,"new_stimuli/mp3/melody_^3_v4+_buffer.mp3"
"41",4983,"6001.214999938384","mi","","p",0,"<p>Which tone was played first after the cadence?</p>"
"42",55070,"10016.625000047497","fi","e","fi",1,"e-fi.mp3"
"43",55070,"8417.424999992363","ti","e","ti",1,"e-ti.mp3"
"44",55070,"8785.520000034012","la","e","la",1,"e-la.mp3"
"45",55070,"10256.135000032373","la","a","la",1,"a-la.mp3"
"46",55070,"12175.290000042878","la","c","la",1,"c-la.mp3"
"47",55070,"17107.895000022836","mi","e","me",0,"e-me.mp3"
"48",55070,"7629.674999974668","do","e","do",1,"e-do.mp3"
"49",55070,"9868.664999958128","mi","c","mi",1,"c-mi.mp3"
"50",55070,"7650.634999969043","do","c","do8",0,"c-do8.mp3"
"51",55070,"12180.860000080429","me","a","mi",0,"a-mi.mp3"
"52",55070,"8461.099999956787","sol","a","sol",1,"a-sol.mp3"
"53",55070,"11998.474999913014","le","a","le",1,"a-le.mp3"
"54",55070,"8182.7099999645725","fa","a","fa",1,"a-fa.mp3"
"55",55070,"15875.145000056364","re","e","re",1,"e-re.mp3"
"56",55070,"9828.56999989599","le","e","le",1,"e-le.mp3"
"57",55070,"9367.369999992661","mi","e","mi",1,"e-mi.mp3"
"58",55070,"16238.604999962263","me","c","me",1,"c-me.mp3"
"59",55070,"7746.820000000298","fi","a","fi",1,"a-fi.mp3"
"60",55070,"7437.8100000321865","do","a","do",1,"a-do.mp3"
"61",55070,"10963.579999981448","le","c","le",1,"c-le.mp3"
"62",55070,"10835.379999945872","te","e","te",1,"e-te.mp3"
"63",55070,"8467.50000002794","re","a","re",1,"a-re.mp3"
"64",55070,"9438.839999958873","fa","e","fa",1,"e-fa.mp3"
"65",55070,"8177.864999976009","ra","a","ra",1,"a-ra.mp3"
"66",55070,"null","null","c","fi",0,"c-fi.mp3"
"67",55070,"1550.1999999396503","fi","a","ti",0,"a-ti.mp3"
"68",55070,"9748.099999967963","sol","e","sol",1,"e-sol.mp3"
"69",55070,"10021.180000039749","ti","c","ti",1,"c-ti.mp3"
"70",55070,"15227.42000001017","le","e","ra",0,"e-ra.mp3"
"71",55070,"11113.08999999892","me","a","me",1,"a-me.mp3"
"72",55070,"7908.584999968298","do","a","do8",0,"a-do8.mp3"
"73",55070,"7501.709999982268","do","e","do8",0,"e-do8.mp3"
"74",55070,"7763.139999937266","re","c","re",1,"c-re.mp3"
"75",55070,"13473.28000003472","le","a","te",0,"a-te.mp3"
"76",55070,"10077.189999981783","sol","c","sol",1,"c-sol.mp3"
"77",55070,"7605.065000010654","ra","c","ra",1,"c-ra.mp3"
"78",55070,"7930.389999994077","fa","c","fa",1,"c-fa.mp3"
"79",55070,"7447.874999954365","do","c","do",1,"c-do.mp3"
"80",55070,"21660.510000074282",NA,NA,NA,NA,NA
"81",55070,"null",NA,"new","stimuli",NA,"new_stimuli/mp3/melody_^1_^2+_.mp3"
"82",55070,"1547.7549999486655","do","","p",0,"<p>Which tone was played first after the cadence?</p><p>Please respond as quickly and as accurately as possible!</p>"
"83",7361,"9300.70500005968","la","e","la",1,"e-la.mp3"
"84",7361,"10049.324999796227","mi","a","mi",1,"a-mi.mp3"
"85",7361,"10364.204999990761","sol","a","sol",1,"a-sol.mp3"
"86",7361,"19668.099999893457","le","a","ra",0,"a-ra.mp3"
"87",7361,"9180.605000117794","re","e","re",1,"e-re.mp3"
"88",7361,"12380.879999836907","fa","c","fa",1,"c-fa.mp3"
"89",7361,"9043.224999913946","me","c","me",1,"c-me.mp3"
"90",7361,"10876.255000010133","fa","e","fa",1,"e-fa.mp3"
