stimulus,idyom_notation
3_^6,4 9
v3_v2,4 2
^2_v7-,2 10
v5_v1+,7 1
^5_^1+,7 1
^3_v4+,4 5
v4_v3,5 4
v7_v3,11 4
^1_^2+,0 3
v2_v1,2 0
^1_v6_v5+,0 9 8
v1_v7-_^7,0 10 11
1_v1+_^2,0 1 2
6_^1_v5,9 0 7
v2_v5_^3,2 7 4
v4_v3_v2,5 4 2
v3_v2_v1,4 2 0
v5_v4_v3,7 5 4
v1_v7-_v7-,0 10 10
v5-_v3_3_^4+_v3,6 4 4 6 4
v5_v4_v3_v2_v1,7 5 4 2 0
^5_^6_v5_v4_v3,7 9 7 5 4
v2_2_^3_^4_v2,2 2 4 5 2
^6_v4_v3_^4_^5,9 5 4 5 7
^6_v5_v4_v3_v2,9 7 5 4 2
v5_^6+_^7_^1_5,7 9 11 0 7
^6_v5+_v4_^5+_v3_v1_v7-,9 8 5 8 4 0 10
^4_^5_^6_v5_v4_v3_v2,5 7 9 7 5 4 2
^1_v7_v6_v5_v4_v3_v2,0 11 9 7 5 4 2
^4_v6-_v5-_^6-_^4_v2-_2-,5 8 6 8 5 1 1
1_^3_v1_^5_v3_v2_^3,0 4 0 7 4 2 4
^5_^6_v5_v4_v3_v2_v1,7 9 7 5 4 2 0
v1_^2_v1_v7_^1_^3_v2,0 2 0 11 0 4 2
v7_v6_v5_^6_v5_v4_^5_^6_v5,11 9 7 9 7 5 7 9 7
^3_^4_v2_v7_^1_^2_^3_3_^4,4 5 2 11 0 2 4 4 5
v5_v4_v6+_^7_^3+_v3_v2_v5_^4,7 5 9 11 4 3 2 7 5
^2_^4_v3_v2_v1_v3_v2+_^3_^5+,2 5 4 2 0 4 3 4 8
^5_^6_v5_v4_v3_v2_v1_^2_^3,7 9 7 5 4 2 0 2 4
^2_^3_^4_^5_^6_v5_v4_v3_v2,2 4 5 7 9 7 5 4 2
^3_^4_^5_^6_v5_v4_v3_v2_v1,4 5 7 9 7 5 4 2 0
