stimulus,idyom_notation,average_ic
3_^6,4 9,7.939174056344828
v3_v2,4 2,4.580292582399643
^2_v7-,2 10,7.714556178545455
v5_v1+,7 1,9.98163369625
^5_^1+,7 1,9.98163369625
^3_v4+,4 5,5.152258717417582
v4_v3,5 4,4.946922023553554
v7_v3,11 4,7.483183720357142
^1_^2+,0 3,7.55919555125
v2_v1,2 0,4.2792667904183
^1_v6_v5+,0 9 8,12.087229825
v1_v7-_^7,0 10 11,10.0333378
1_v1+_^2,0 1 2,8.281228306764707
6_^1_v5,9 0 7,11.123565154444444
v2_v5_^3,2 7 4,10.303776194081633
v4_v3_v2,5 4 2,6.028291754918032
v3_v2_v1,4 2 0,6.073122878141892
v5_v4_v3,7 5 4,6.744754638036698
v1_v7-_v7-,0 10 10,10.211520920833333
v5-_v3_3_^4+_v3,6 4 4 6 4,15.8696278
v5_v4_v3_v2_v1,7 5 4 2 0,9.199221265911602
^5_^6_v5_v4_v3,7 9 7 5 4,10.441048309891304
v2_2_^3_^4_v2,2 2 4 5 2,14.577472875
^6_v4_v3_^4_^5,9 5 4 5 7,13.661276456666666
^6_v5_v4_v3_v2,9 7 5 4 2,8.984400125925927
v5_^6+_^7_^1_5,7 9 11 0 7,13.768900146
^6_v5+_v4_^5+_v3_v1_v7-,9 8 5 8 4 0 10,29.2025421
^4_^5_^6_v5_v4_v3_v2,5 7 9 7 5 4 2,12.635570060571428
^1_v7_v6_v5_v4_v3_v2,0 11 9 7 5 4 2,12.750169722444445
^4_v6-_v5-_^6-_^4_v2-_2-,5 8 6 8 5 1 1,32.5859554
1_^3_v1_^5_v3_v2_^3,0 4 0 7 4 2 4,26.5637001
^5_^6_v5_v4_v3_v2_v1,7 9 7 5 4 2 0,12.53333467
v1_^2_v1_v7_^1_^3_v2,0 2 0 11 0 4 2,NaN
v7_v6_v5_^6_v5_v4_^5_^6_v5,11 9 7 9 7 5 7 9 7,20.2308927
^3_^4_v2_v7_^1_^2_^3_3_^4,4 5 2 11 0 2 4 4 5,16.71878194
v5_v4_v6+_^7_^3+_v3_v2_v5_^4,7 5 9 11 4 3 2 7 5,NaN
^2_^4_v3_v2_v1_v3_v2+_^3_^5+,2 5 4 2 0 4 3 4 8,27.4634607
^5_^6_v5_v4_v3_v2_v1_^2_^3,7 9 7 5 4 2 0 2 4,15.707338835384615
^2_^3_^4_^5_^6_v5_v4_v3_v2,2 4 5 7 9 7 5 4 2,16.47001105142857
^3_^4_^5_^6_v5_v4_v3_v2_v1,4 5 7 9 7 5 4 2 0,16.425015795454545
