"subject","rt","button_pressed_vector_c","trial_answer","score","trial_length","stimulus","serial_order"
55070,"1547.7549999486655","do","do",1,2,"^1_^2+",1
55070,"1030.9200000483543","me","me",1,2,"^1_^2+",2
55070,"5705.544999917038","mi","mi",1,2,"3_^6",1
55070,"1295.1849999371916","la","la",1,2,"3_^6",2
55070,"1044.0399999497458","re","re",1,2,"v2_v1",1
55070,"665.9900000086054","do","do",1,2,"v2_v1",2
55070,"941.5099999168888","fa","fa",1,2,"v4_v3",1
55070,"783.5650000488386","mi","mi",1,2,"v4_v3",2
55070,"2931.0350000159815","re","re",1,2,"^2_v7-",1
55070,"1011.5200000582263","te","te",1,2,"^2_v7-",2
55070,"1255.1400000229478","mi","mi",1,2,"v3_v2",1
55070,"695.5050000688061","re","re",1,2,"v3_v2",2
55070,"12750.090000103228","sol","sol",1,2,"v5_v1+",1
55070,"1544.2150000017136","ra","ra",1,2,"v5_v1+",2
55070,"10044.579999987036","mi","mi",1,2,"^3_v4+",1
55070,"977.2349999984726","fi","fi",1,2,"^3_v4+",2
55070,"1596.2649999419227","sol","sol",1,2,"^5_^1+",1
55070,"4563.360000029206","ra","ra",1,2,"^5_^1+",2
55070,"936.989999958314","ti","ti",1,2,"v7_v3",1
55070,"971.4349999558181","mi","mi",1,2,"v7_v3",2
55070,"1906.0949999839067","re","re",1,3,"v2_v5_^3",1
55070,"2173.94999996759","sol","sol",1,3,"v2_v5_^3",2
55070,"976.7850000644103","mi","mi",1,3,"v2_v5_^3",3
55070,"2130.394999985583","do","do",1,3,"^1_v6_v5+",1
55070,"1183.034999994561","la","la",1,3,"^1_v6_v5+",2
55070,"996.6850000200793","le","le",1,3,"^1_v6_v5+",3
55070,"1121.099999989383","fa","fa",1,3,"v4_v3_v2",1
55070,"586.3600000739098","mi","mi",1,3,"v4_v3_v2",2
55070,"566.3750000530854","re","re",1,3,"v4_v3_v2",3
55070,"980.6199999293312","sol","sol",1,3,"v5_v4_v3",1
55070,"743.5500000137836","fa","fa",1,3,"v5_v4_v3",2
55070,"621.9800000544637","mi","mi",1,3,"v5_v4_v3",3
55070,"1259.4899999676272","mi","mi",1,3,"v3_v2_v1",1
55070,"593.5599999502301","re","re",1,3,"v3_v2_v1",2
55070,"554.5250000432134","do","do",1,3,"v3_v2_v1",3
55070,"2646.629999973811","la","la",1,3,"6_^1_v5",1
55070,"680.8450000826269","do","do",1,3,"6_^1_v5",2
55070,"923.94999996759","sol","sol",1,3,"6_^1_v5",3
55070,"1144.1000000340864","do","do",1,3,"1_v1+_^2",1
55070,"545.8499999949709","ra","ra",1,3,"1_v1+_^2",2
55070,"501.56999996397644","re","re",1,3,"1_v1+_^2",3
55070,"1428.4250000491738","do","do",1,3,"v1_v7-_^7",1
55070,"560.5699999723583","te","te",1,3,"v1_v7-_^7",2
55070,"484.27000001538545","ti","ti",1,3,"v1_v7-_^7",3
55070,"884.9250000203028","do","do",1,3,"v1_v7-_7-",1
55070,"520.7749999826774","te","te",1,3,"v1_v7-_7-",2
