"subject","rt","button_pressed","key","scale_degree","score","stimuli_together"
7361,"9300.70500005968","la","e","la",1,"e-la.mp3"
7361,"10049.324999796227","mi","a","mi",1,"a-mi.mp3"
7361,"10364.204999990761","sol","a","sol",1,"a-sol.mp3"
7361,"19668.099999893457","le","a","ra",0,"a-ra.mp3"
7361,"9180.605000117794","re","e","re",1,"e-re.mp3"
7361,"12380.879999836907","fa","c","fa",1,"c-fa.mp3"
7361,"9043.224999913946","me","c","me",1,"c-me.mp3"
7361,"10876.255000010133","fa","e","fa",1,"e-fa.mp3"
7361,"15500.264999922365","fa","c","fi",0,"c-fi.mp3"
7361,"11038.965000072494","do","a","do8",0,"a-do8.mp3"
7361,"12383.240000111982","do","e","do8",0,"e-do8.mp3"
7361,"8105.890000006184","re","c","re",1,"c-re.mp3"
7361,"null","null","c","ra",0,"c-ra.mp3"
7361,"8889.149999944493","fi","e","fi",1,"e-fi.mp3"
7361,"11675.754999974743","do","c","do8",0,"c-do8.mp3"
7361,"10009.559999918565","la","e","te",0,"e-te.mp3"
7361,"10347.049999982119","le","e","le",1,"e-le.mp3"
7361,"9980.86000001058","sol","c","sol",1,"c-sol.mp3"
7361,"11968.594999983907","ra","e","ra",1,"e-ra.mp3"
7361,"8198.379999957979","do","e","do",1,"e-do.mp3"
7361,"10435.599999967963","la","c","la",1,"c-la.mp3"
7361,"13791.669999947771","mi","c","mi",1,"c-mi.mp3"
7361,"10088.620000053197","fa","a","fa",1,"a-fa.mp3"
7361,"16916.895000031218","ti","a","ti",1,"a-ti.mp3"
7361,"9253.870000131428","ti","e","ti",1,"e-ti.mp3"
7361,"11382.590000052005","la","a","la",1,"a-la.mp3"
7361,"11001.324999844655","le","a","te",0,"a-te.mp3"
7361,"9074.645000044256","re","a","re",1,"a-re.mp3"
7361,"8662.740000057966","mi","e","mi",1,"e-mi.mp3"
7361,"9662.040000082925","me","e","me",1,"e-me.mp3"
7361,"12718.450000043958","le","a","le",1,"a-le.mp3"
7361,"9270.669999998063","me","a","me",1,"a-me.mp3"
7361,"14065.269999904558","ti","c","ti",1,"c-ti.mp3"
7361,"8333.719999995083","do","a","do",1,"a-do.mp3"
7361,"8031.999999890104","do","c","do",1,"c-do.mp3"
7361,"11580.66500001587","sol","e","sol",1,"e-sol.mp3"
7361,"16180.81000004895","le","c","le",1,"c-le.mp3"
7361,"10694.205000065267","fi","a","fi",1,"a-fi.mp3"
