"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses","stimulus","button_pressed"
"[{""page_index"":0,""viewing_time"":38399},{""page_index"":1,""viewing_time"":16021},{""page_index"":2,""viewing_time"":1371}]","55791","instructions","0","55792","0.0-0.0","51011","","",""
"","73345","survey-text","1","129138","0.0-1.0","51011","{""Q0"":""19"",""Q1"":""Working on Bachelors"",""Q2"":""Numbers / Intervals"",""Q3"":""I have perfect pitch"",""Q4"":""0? Nothing formal - otherwise my whole life"",""Q5"":""0""}","",""
"[{""page_index"":0,""viewing_time"":3083},{""page_index"":1,""viewing_time"":7833},{""page_index"":2,""viewing_time"":2281}]","13197","instructions","2","142336","0.0-2.0","51011","","",""
"","7824","audio-button-response","3","150162","0.0-3.0","51011","","stimuli/c-do.mp3","0"
"","8561","audio-button-response","4","158722","0.0-4.0","51011","","stimuli/a-le.mp3","5"
"[{""page_index"":0,""viewing_time"":1911},{""page_index"":1,""viewing_time"":4250}]","6161","instructions","5","164883","0.0-5.0","51011","","",""
"","7461","audio-button-response","6","172346","0.0-6.0-0.0","51011","","stimuli/a-re.mp3","2"
"","8428","audio-button-response","7","180774","0.0-6.0-0.1","51011","","stimuli/a-me.mp3","3"
"","7950","audio-button-response","8","188724","0.0-6.0-0.2","51011","","stimuli/c-re.mp3","2"
"","6921","audio-button-response","9","195645","0.0-6.0-0.3","51011","","stimuli/c-sol.mp3","7"
"","9627","audio-button-response","10","205272","0.0-6.0-0.4","51011","","stimuli/e-le.mp3","8"
"","10743","audio-button-response","11","216015","0.0-6.0-0.5","51011","","stimuli/a-le.mp3","8"
"","7119","audio-button-response","12","223135","0.0-6.0-0.6","51011","","stimuli/c-do.mp3","0"
"","11925","audio-button-response","13","235060","0.0-6.0-0.7","51011","","stimuli/e-me.mp3","3"
"","8336","audio-button-response","14","243396","0.0-6.0-0.8","51011","","stimuli/e-sol.mp3","7"
"","7623","audio-button-response","15","251019","0.0-6.0-0.9","51011","","stimuli/e-do8.mp3","12"
"","7707","audio-button-response","16","258726","0.0-6.0-0.10","51011","","stimuli/c-ti.mp3","11"
"","8155","audio-button-response","17","266882","0.0-6.0-0.11","51011","","stimuli/a-te.mp3","10"
"","7266","audio-button-response","18","274150","0.0-6.0-0.12","51011","","stimuli/c-fa.mp3","5"
"","6993","audio-button-response","19","281143","0.0-6.0-0.13","51011","","stimuli/e-do.mp3","0"
"","7238","audio-button-response","20","288381","0.0-6.0-0.14","51011","","stimuli/c-fi.mp3","6"
"","7391","audio-button-response","21","295774","0.0-6.0-0.15","51011","","stimuli/c-me.mp3","3"
"","13226","audio-button-response","22","309001","0.0-6.0-0.16","51011","","stimuli/a-la.mp3","9"
"","7673","audio-button-response","23","316674","0.0-6.0-0.17","51011","","stimuli/e-mi.mp3","4"
"","6997","audio-button-response","24","323671","0.0-6.0-0.18","51011","","stimuli/c-do8.mp3","12"
"","7116","audio-button-response","25","330788","0.0-6.0-0.19","51011","","stimuli/c-la.mp3","9"
"","13284","audio-button-response","26","344073","0.0-6.0-0.20","51011","","stimuli/a-fi.mp3","6"
"","7109","audio-button-response","27","351183","0.0-6.0-0.21","51011","","stimuli/e-la.mp3","9"
"","7582","audio-button-response","28","358766","0.0-6.0-0.22","51011","","stimuli/a-do.mp3","0"
"","8675","audio-button-response","29","367441","0.0-6.0-0.23","51011","","stimuli/c-ra.mp3","1"
"","7881","audio-button-response","30","375322","0.0-6.0-0.24","51011","","stimuli/a-mi.mp3","4"
"","8655","audio-button-response","31","383978","0.0-6.0-0.25","51011","","stimuli/e-re.mp3","2"
"","7264","audio-button-response","32","391242","0.0-6.0-0.26","51011","","stimuli/c-mi.mp3","4"
"","8923","audio-button-response","33","400166","0.0-6.0-0.27","51011","","stimuli/e-fa.mp3","7"
"","8802","audio-button-response","34","408969","0.0-6.0-0.28","51011","","stimuli/a-ra.mp3","1"
"","8058","audio-button-response","35","417027","0.0-6.0-0.29","51011","","stimuli/a-sol.mp3","7"
"","12252","audio-button-response","36","429279","0.0-6.0-0.30","51011","","stimuli/c-le.mp3","8"
"","7270","audio-button-response","37","436548","0.0-6.0-0.31","51011","","stimuli/e-ti.mp3","11"
"","7578","audio-button-response","38","444126","0.0-6.0-0.32","51011","","stimuli/e-ra.mp3","1"
"","1745","audio-button-response","39","445872","0.0-6.0-0.33","51011","","stimuli/e-di.mp3","1"
"","7833","audio-button-response","40","453705","0.0-6.0-0.34","51011","","stimuli/a-ti.mp3","11"
"","7506","audio-button-response","41","461211","0.0-6.0-0.35","51011","","stimuli/e-te.mp3","10"
"","6980","audio-button-response","42","468191","0.0-6.0-0.36","51011","","stimuli/a-do8.mp3","12"
"","9392","audio-button-response","43","477584","0.0-6.0-0.37","51011","","stimuli/a-fa.mp3","10"
"","12089","audio-button-response","44","489675","0.0-6.0-0.38","51011","","stimuli/e-fi.mp3","8"
"","20567","survey-text","45","510242","0.0-7.0","51011","{""Q0"":""Pierce""}","",""
"[{""page_index"":0,""viewing_time"":9098}]","9098","instructions","46","519340","0.0-8.0","51011","","",""
