Feature,Correlation,feature_category,absCor
mean.Sichels.S,0.5203719305095131,FANTASTIC,0.5203719305095131
MeloSol Frequency,0.4591459827900744,FANTASTIC,0.4591459827900744
note.dens,0.3779019995349384,FANTASTIC,0.3779019995349384
tonalness,0.2617390680515545,FANTASTIC,0.2617390680515545
tonal.clarity,0.25467661782442785,FANTASTIC,0.25467661782442785
tonal.spike,0.027791528260552898,FANTASTIC,0.027791528260552898
int.cont.grad.mean,-0.04264314794023912,FANTASTIC,0.04264314794023912
mean.Simpsons.D,-0.05929702835760922,FANTASTIC,0.05929702835760922
int.cont.glob.dir,-0.06045499982483237,FANTASTIC,0.06045499982483237
p.entropy,-0.2265232382776721,FANTASTIC,0.2265232382776721
step.cont.glob.dir,-0.2929541865102041,FANTASTIC,0.2929541865102041
p.std,-0.432761877025765,FANTASTIC,0.432761877025765
mean.Honores.H,-0.4517751798949119,FANTASTIC,0.4517751798949119
len,-0.45434272028572104,FANTASTIC,0.45434272028572104
glob.duration,-0.45434272028572104,FANTASTIC,0.45434272028572104
step.cont.glob.var,-0.458435290086609,FANTASTIC,0.458435290086609
p.range,-0.4618854984360844,FANTASTIC,0.4618854984360844
mean.Yules.K,-0.4816249190742427,FANTASTIC,0.4816249190742427
int.cont.dir.change,-0.4927654252495516,FANTASTIC,0.4927654252495516
i.mode,-0.4970399003002361,FANTASTIC,0.4970399003002361
mean.productivity,-0.5623792527697229,FANTASTIC,0.5623792527697229
i.abs.mean,-0.5630506790150399,FANTASTIC,0.5630506790150399
i.entropy,-0.6407887013388909,FANTASTIC,0.6407887013388909
int.cont.grad.std,-0.6493866604444076,FANTASTIC,0.6493866604444076
i.abs.std,-0.6714568813431563,FANTASTIC,0.6714568813431563
i.abs.range,-0.6920959391618051,FANTASTIC,0.6920959391618051
step.cont.loc.var,-0.7071486317928163,FANTASTIC,0.7071486317928163
mean.entropy,-0.7105124761142979,FANTASTIC,0.7105124761142979
Average IDyOM IC,-0.8041495369462621,FANTASTIC,0.8041495369462621
