names,theory
subject,Subject
rt,RT
button_pressed_vector_c,Data
trial_answer,Data
score,Data
trial_length,Data
stimulus,Data
serial_order,Data
Count,Frequency
Gram,Frequency
quintile,Frequency
mean.entropy,Linguistics
mean.productivity,Linguistics
mean.Simpsons.D,Linguistics
mean.Yules.K,Linguistics
mean.Sichels.S,Linguistics
mean.Honores.H,Linguistics
p.range,Pitch
p.entropy,Pitch
p.std,Pitch
i.abs.range,Interval
i.abs.mean,Interval
i.abs.std,Interval
i.mode,Interval
i.entropy,Interval
d.range,Rhythm
d.median,Rhythm
d.mode,Rhythm
d.entropy,Rhythm
d.eq.trans,Rhythm
d.half.trans,Rhythm
d.dotted.trans,Rhythm
len,Number of Notes
glob.duration,Rhythm
note.dens,Rhythm
tonalness,Tonal
tonal.clarity,Tonal
tonal.spike,Tonal
int.cont.grad.mean,Contour
int.cont.grad.std,Contour
int.cont.dir.change,Contour
step.cont.glob.var,Contour
step.cont.glob.dir,Contour
step.cont.loc.var,Contour
mode,Tonal
h.contour,Contour
int.cont.glob.dir,Contour
int.contour.class,Contour
